method,psnr,ssim,mae,delta_psnr_vs_blurred,delta_ssim_vs_blurred,delta_mae_vs_blurred
tv_montalto,21.839753242259608,0.5409733451249106,0.057597981507165566,2.9552676475039212,0.23987130710597354,-0.031817661650064916
wiener,20.143492572480255,0.5137920074322234,0.08087116588527958,1.2590069777245687,0.2126899694132864,-0.008544477271950908
richardson_lucy,19.846650955367082,0.3623901304504124,0.08098162845191029,0.9621653606113951,0.06128809243147545,-0.0084340147053202
blurred,18.884485594755688,0.3011020380189369,0.08941564315723048,0.0,0.0,0.0
