case_id,image_id,image_name,psf_id,psf_type,noise_sigma,method,param,psnr,ssim,mae,psnr_blurred,ssim_blurred,mae_blurred,delta_psnr_vs_blurred,delta_ssim_vs_blurred,delta_mae_vs_blurred
triple_001_mandrill_gauss_iso_mild_sigma_0.01,4.2.03,mandrill,gauss_iso_mild,gauss,0.01,blurred,,22.56058010577285,0.4516417437388925,0.05543208122253418,22.56058010577285,0.4516417437388925,0.05543208122253418,0.0,0.0,0.0
triple_001_mandrill_gauss_iso_mild_sigma_0.01,4.2.03,mandrill,gauss_iso_mild,gauss,0.01,richardson_lucy,30.0,23.609616796816884,0.5823747729376825,0.048320021480321884,22.56058010577285,0.4516417437388925,0.05543208122253418,1.0490366910440336,0.13073302919878999,-0.0071120597422122955
triple_001_mandrill_gauss_iso_mild_sigma_0.01,4.2.03,mandrill,gauss_iso_mild,gauss,0.01,tv_montalto,0.005,23.11599804204391,0.5071447844148613,0.050641510635614395,22.56058010577285,0.4516417437388925,0.05543208122253418,0.5554179362710592,0.05550304067596884,-0.0047905705869197845
triple_001_mandrill_gauss_iso_mild_sigma_0.01,4.2.03,mandrill,gauss_iso_mild,gauss,0.01,wiener,0.01,23.80672536601964,0.6035130885565728,0.047160226851701736,22.56058010577285,0.4516417437388925,0.05543208122253418,1.2461452602467915,0.15187134481768033,-0.008271854370832443
triple_002_mandrill_gauss_iso_mild_sigma_0.05,4.2.03,mandrill,gauss_iso_mild,gauss,0.05,blurred,,20.99186215857399,0.3044323036606422,0.0693448930978775,20.99186215857399,0.3044323036606422,0.0693448930978775,0.0,0.0,0.0
triple_002_mandrill_gauss_iso_mild_sigma_0.05,4.2.03,mandrill,gauss_iso_mild,gauss,0.05,richardson_lucy,16.0,20.957929469230194,0.36179313159362275,0.0699254497885704,20.99186215857399,0.3044323036606422,0.0693448930978775,-0.03393268934379634,0.05736082793298053,0.0005805566906929016
triple_002_mandrill_gauss_iso_mild_sigma_0.05,4.2.03,mandrill,gauss_iso_mild,gauss,0.05,tv_montalto,0.02,22.630605664631894,0.44570755365974174,0.05406942963600159,20.99186215857399,0.3044323036606422,0.0693448930978775,1.638743506057903,0.14127524999909952,-0.015275463461875916
triple_002_mandrill_gauss_iso_mild_sigma_0.05,4.2.03,mandrill,gauss_iso_mild,gauss,0.05,wiener,0.1,21.229252765923547,0.4693920296001591,0.06978478282690048,20.99186215857399,0.3044323036606422,0.0693448930978775,0.23739060734955686,0.16495972593951685,0.00043988972902297974
triple_003_mandrill_gauss_iso_mild_sigma_0.10,4.2.03,mandrill,gauss_iso_mild,gauss,0.1,blurred,,18.10547091621429,0.17482374307596962,0.09851069003343582,18.10547091621429,0.17482374307596962,0.09851069003343582,0.0,0.0,0.0
triple_003_mandrill_gauss_iso_mild_sigma_0.10,4.2.03,mandrill,gauss_iso_mild,gauss,0.1,richardson_lucy,12.0,17.49499370990333,0.2026625195383691,0.10570015013217926,18.10547091621429,0.17482374307596962,0.09851069003343582,-0.6104772063109607,0.02783877646239949,0.007189460098743439
