psf_id,method,psnr,ssim,mae,delta_psnr_vs_blurred,delta_ssim_vs_blurred
gauss_aniso_rot,tv_montalto,22.3065163289428,0.56877834056727,0.051566598316033684,2.8611340768924833,0.23464258380990785
gauss_aniso_rot,wiener,20.45782212688884,0.5397427067474824,0.07582212446464433,1.012439874838523,0.20560694999012022
gauss_aniso_rot,richardson_lucy,20.279463527428398,0.39191328352950316,0.07530136489205891,0.834081275378084,0.05777752677214106
gauss_aniso_rot,blurred,19.445382252050315,0.3341357567573621,0.08158172542850177,0.0,0.0
gauss_iso_mild,tv_montalto,23.939255110168446,0.6548338352080109,0.04273049098749956,3.2717870531652595,0.24068163323089514
gauss_iso_mild,wiener,21.933880635209476,0.6350571829698928,0.06638514974878894,1.2664125782062885,0.22090498099277708
gauss_iso_mild,richardson_lucy,21.4944234057727,0.47618622984716086,0.0680207796394825,0.8269553487695119,0.062034027870045194
gauss_iso_mild,blurred,20.667468057003187,0.4141522019771158,0.07113551886545287,0.0,0.0
sca_mild,tv_montalto,22.03992527405331,0.5421767473570639,0.05372587591409683,3.1163654516987593,0.2655920163477948
sca_mild,wiener,20.36598606378714,0.4989468906089782,0.07789498650365406,1.4424262414325935,0.22236215959970915
sca_mild,richardson_lucy,20.040842899800083,0.358559825869729,0.07737276454766591,1.1172830774455353,0.08197509486045995
sca_mild,blurred,18.923559822354548,0.27658473100926906,0.08622435645924674,0.0,0.0
sca_strong,tv_montalto,19.07331625587388,0.3981044573672973,0.08236896081103219,2.5717840082591827,0.21856899503529637
sca_strong,wiener,17.81628146403557,0.3814212494025402,0.10338240282403098,1.3147492164208698,0.2018857870705392
sca_strong,richardson_lucy,17.571873988467146,0.22290118255525654,0.10323160472843382,1.0703417408524494,0.04336572022325557
sca_strong,blurred,16.501532247614698,0.179535462332001,0.11872097187572056,0.0,0.0
